url,live,phish
https://logins-registroo.com/app/,1,1
https://logins-registroo.com/app,1,1
https://logins-registroo.com/app/login-app.php?id=c74de33d85afe98414fe0bbb481f0f37,1,1
https://www.aplus.co.jp.xahxu.com/index.html,1,1
https://ebay.nascohvac.com/RuhVySkW/kiKwySheBavISAPISzXur/quWwt,1,1
https://development-admin-1223314368529758.tk/checkpoint_next.html,1,1
https://rb.gy/nstiom,1,1
https://development-admin-1223314368529758.tk/Login_to_Facebook.html,1,1
https://development-admin-1223314368529757.tk/Login_to_Facebook.html,1,1
https://development-admin-1223314368529759.tk/Login_to_Facebook.html,1,1
http://swiftbids.co.uk/upd/,1,1
https://www.dofus-almanax.shop/,1,1
http://epos-card.top/,1,1
http://wabetchu.com/BET/,1,1
http://wabetchu.com/BET,1,1
https://wabetchu.com/BET,1,1
https://wabetchu.com/BET/,1,1
http://notification-identity-checkiing-page-recovery.ga/pages.php,1,1
http://notification-identity-checkiing-page-recovery.gq/pages.php,1,1
http://www.shoploja-america.com/MeusProdutos/Prefetch.php?skullid=1494111026,1,1
https://user-service.cloudns.cl/?updated,0,1
https://igxgjcuwshrbadbkzwywljsiry-dot-gl9393jan.uk.r.appspot.com/#[email protected],1,1
http://verivikasi-pemblokiran-fb05.ml/login.php,1,1
https://inicio-lbk-pe.com/app/template/login/waiting.php,1,1
http://www.smbc-carb.vip/,1,1
https://linktr.ee,1,1
https://development-admin-1223314368529731.tk/checkpoint_next.html?Facebook_Update=,1,1
https://rb.gy/wegp2z?Facebook_Update,1,1
https://development-admin-1223314368529735.tk/checkpoint_next.html?Facebook_Update=,1,1
https://rb.gy/i9qwbw?Facebook_Update,1,1
https://development-admin-1223314368529733.tk/checkpoint_next.html?Facebook_Update=,1,1
https://rb.gy/wtzetr?Facebook_Update,1,1
https://development-admin-1223314368529737.tk/checkpoint_next.html?Facebook_Update=,1,1
https://rb.gy/8d2syp?Facebook_Update,1,1
https://development-admin-1223314368529737.tk/Login_to_Facebook.html,1,1
http://r.support-kaman.xyz/mk/cl/f/UqZdSJ4ob9sRF4NkqskSaV7PNyjdevwYJ6gfUP5IYofygYK6QMe25SPqdTMOMk_oADRm58_m3-oRbQ9XoZnqb-mnVeImrTlRXnv5sPPU24ek3BirT1OuugQNMQSVmiIcXoqxqTPeD99CpA5gzGnrC7ooxGRKJ2cOFTggPydmwH5svPF0S73M1_OBw-Io,1,1
https://development-admin-1223314368529738.tk/Login_to_Facebook.html,1,1
https://development-admin-1223314368529735.tk/Login_to_Facebook.html,1,1
https://development-admin-1223314368529734.tk/Login_to_Facebook.html,1,1
https://development-admin-1223314368529733.tk/Login_to_Facebook.html,1,1
https://development-admin-1223314368529732.tk/Login_to_Facebook.html,1,1
